shipment_id,submission_timestamp,hs_code,shc_code,origin_country,port_of_loading,importer_cr_id,is_aeo_certified,historical_avg_clearance_hours,fatoorah_validation_passed,weight_value_discrepancy,pre_arrival_filing_hours,ambient_temperature_celsius,visibility_meters,clearance_duration_hours,inspection_track
160-71156947,2025-04-05T20:00:00+03:00,300413356886,COL,IND,BOM,2604100811,1,137.24,1,0.035,58.69,28.7,3080.0,1.32,GREEN
065-22038651,2025-10-11T14:00:00+03:00,851739958838,GEN,TWN,TPE,4379887302,0,47.17,1,0.0217,64.57,27.1,8813.0,1.87,GREEN
065-55295749,2025-10-04T18:00:00+03:00,851783197857,GEN,TWN,TPE,1720249234,0,71.35,1,0.0924,67.41,15.2,4065.0,96.26,RED
020-55703226,2025-10-03T07:00:00+03:00,851714265799,GEN,CHN,PVG,2457748148,0,141.75,1,0.0274,-12.61,36.6,2830.0,24.55,YELLOW
160-95400665,2025-08-05T04:00:00+03:00,040641227216,PER,NLD,AMS,2392538908,0,101.3,1,0.0819,-34.44,35.4,7309.0,99.96,RED
065-36105925,2025-07-07T20:00:00+03:00,300497226012,COL,IND,BOM,2602506480,0,101.38,1,0.0925,-38.64,48.4,8586.0,145.79,RED
160-66731558,2025-10-25T22:00:00+03:00,300470291817,COL,IND,BOM,2808707217,1,17.23,1,0.0846,-13.5,42.2,9549.0,102.45,RED
065-74594104,2025-11-17T01:00:00+03:00,851731429110,VAL,TWN,TPE,4697242000,0,44.71,1,0.097,11.37,20.5,597.0,104.91,RED
020-76215349,2025-03-20T10:00:00+03:00,851747295260,GEN,CHN,PVG,1009344312,0,62.37,1,0.0562,20.23,23.8,6771.0,106.77,RED
160-80011451,2025-10-09T06:00:00+03:00,851755176955,GEN,TWN,TPE,2359277114,0,82.45,1,0.0397,-17.5,23.5,2331.0,34.88,RED
065-43060313,2025-09-01T10:00:00+03:00,851760992979,GEN,TWN,TPE,2080487864,1,101.26,1,0.0793,49.91,17.0,2685.0,0.56,GREEN
176-68173072,2025-10-19T10:00:00+03:00,851756164955,VAL,CHN,PVG,4270387216,0,9.12,1,0.0391,-16.2,23.5,1632.0,27.32,RED
160-55756274,2025-11-15T15:00:00+03:00,851771662963,GEN,TWN,TPE,2002771573,1,158.4,1,0.0289,30.74,36.3,1990.0,3.47,GREEN
020-17263355,2025-07-22T12:00:00+03:00,040684093639,COL,FRA,CDG,2397773462,1,152.82,0,0.0762,0.9,29.7,5923.0,87.21,RED
176-61442900,2025-07-11T03:00:00+03:00,851787490893,GEN,CHN,PVG,1046048346,1,143.1,1,0.0554,22.66,35.0,5798.0,98.8,RED
160-88557365,2025-06-30T15:00:00+03:00,851716150444,GEN,TWN,TPE,2002213649,1,95.5,1,0.0667,-46.57,28.1,5119.0,94.37,RED
160-39925446,2025-03-06T10:00:00+03:00,851720709497,GEN,CHN,PVG,4193289806,0,108.43,1,0.0907,-47.25,28.5,1669.0,85.83,RED
160-72980651,2025-05-10T05:00:00+03:00,851761019678,VAL,TWN,TPE,1948057262,0,126.78,1,0.088,12.42,13.5,1447.0,117.79,RED
160-51665363,2025-04-02T01:00:00+03:00,300495320121,COL,DEU,FRA,2845848023,0,31.28,1,0.0913,11.78,45.2,2390.0,145.83,RED
065-29965122,2025-06-08T15:00:00+03:00,851759684848,VAL,TWN,TPE,2862277414,0,161.1,1,0.0111,-25.92,45.4,6247.0,25.62,YELLOW
065-57713848,2025-10-20T19:00:00+03:00,300499949389,COL,IND,BOM,4475796860,0,118.23,1,0.0914,57.97,20.8,7131.0,103.46,RED
160-34726186,2025-06-10T09:00:00+03:00,040681691040,PER,NLD,AMS,4070446211,0,18.9,1,0.0748,-0.28,47.4,744.0,166.37,RED
020-67395517,2025-10-08T07:00:00+03:00,060260929647,COL,NLD,AMS,1111605622,0,92.99,1,0.0062,-21.41,36.5,6762.0,23.8,RED
065-29559228,2025-09-27T11:00:00+03:00,300453524491,CRT,IND,BOM,1944313182,0,39.61,1,0.0378,-12.49,30.7,8346.0,21.17,YELLOW
160-26398429,2025-11-23T12:00:00+03:00,851714308421,VAL,TWN,TPE,4242316548,0,41.72,1,0.0953,-37.58,25.6,9288.0,91.36,RED
160-53630858,2025-04-19T08:00:00+03:00,851745935572,GEN,CHN,PVG,2389746000,1,120.71,1,0.037,56.09,27.9,6261.0,0.66,GREEN
020-30614988,2025-09-06T19:00:00+03:00,300486125617,COL,IND,BOM,1719774101,0,72.23,1,0.0958,6.18,20.7,8164.0,99.66,RED
020-79875063,2025-07-20T01:00:00+03:00,851797971488,VAL,TWN,TPE,4174355477,1,20.04,1,0.0915,-2.25,24.9,1567.0,93.07,RED
020-39225573,2025-08-19T13:00:00+03:00,300496282117,COL,DEU,FRA,4188672665,1,26.84,1,0.0674,8.91,37.5,1333.0,104.86,RED
176-78696565,2025-11-22T12:00:00+03:00,851745551614,GEN,TWN,TPE,2232283715,0,16.29,1,0.0217,-11.54,41.5,1929.0,25.08,YELLOW
160-96490223,2025-09-18T19:00:00+03:00,851785345555,VAL,TWN,TPE,2083789883,0,6.54,0,0.0675,17.37,35.9,5583.0,112.51,RED
020-62572737,2025-06-30T00:00:00+03:00,851788320463,VAL,CHN,PVG,1106100616,0,141.74,1,0.006,-25.15,22.5,1139.0,35.91,YELLOW
160-47269101,2025-03-20T18:00:00+03:00,040628566572,COL,FRA,CDG,4595937411,0,10.92,1,0.0346,-13.3,20.7,2620.0,25.77,YELLOW
065-98289911,2025-04-15T02:00:00+03:00,851716323852,GEN,TWN,TPE,2639801202,0,83.98,1,0.0097,-44.89,36.4,5943.0,24.73,YELLOW
160-64037233,2025-06-15T14:00:00+03:00,851794214382,GEN,TWN,TPE,4685866148,0,6.92,1,0.0827,-33.27,28.3,4672.0,98.1,RED
160-69200944,2025-05-25T07:00:00+03:00,040661642594,COL,FRA,CDG,4111167096,0,125.05,1,0.0729,-37.1,34.4,6641.0,105.42,RED
176-44913939,2025-06-23T11:00:00+03:00,300481016525,COL,DEU,FRA,1493688937,1,10.72,1,0.007,66.86,26.4,3814.0,1.85,GREEN
065-63377265,2025-04-10T15:00:00+03:00,851725374874,VAL,TWN,TPE,2182733335,1,11.31,1,0.0995,48.19,32.9,1908.0,1.74,GREEN
065-89218674,2025-05-15T06:00:00+03:00,851724972279,VAL,CHN,PVG,4754193567,0,61.89,1,0.0156,64.38,19.3,2491.0,1.05,GREEN
176-60967773,2025-03-08T21:00:00+03:00,300431227574,COL,DEU,FRA,4109133126,0,61.61,1,0.0041,57.7,35.5,9096.0,1.84,GREEN
020-79413646,2025-06-22T22:00:00+03:00,060277187530,PER,NLD,AMS,1440258264,1,45.98,1,0.0388,53.56,37.3,1305.0,14.06,GREEN
020-64541249,2025-07-04T05:00:00+03:00,851793926371,VAL,TWN,TPE,4048463027,0,158.94,1,0.0373,47.8,35.6,1518.0,3.01,GREEN
160-15037341,2025-09-11T02:00:00+03:00,040660185867,PER,NLD,AMS,2862303314,0,55.82,1,0.0604,16.97,13.7,7990.0,93.64,RED
176-58582659,2025-05-19T03:00:00+03:00,300490388981,COL,IND,BOM,2322254163,0,21.63,1,0.0392,41.89,31.2,4609.0,0.5,GREEN
020-51687359,2025-04-22T19:00:00+03:00,040625014631,COL,FRA,CDG,4763679557,1,161.26,0,0.0047,34.51,40.6,8216.0,28.33,YELLOW
065-80861823,2025-05-03T16:00:00+03:00,300442138745,CRT,DEU,FRA,4636542951,0,105.41,1,0.0803,25.34,38.3,4487.0,96.21,RED
176-74009357,2025-07-12T10:00:00+03:00,040621496211,COL,NLD,AMS,4491614713,0,1.54,1,0.0516,55.45,14.1,2988.0,100.52,RED
020-21652921,2025-07-27T04:00:00+03:00,040627232410,COL,NLD,AMS,4673687549,1,57.64,1,0.0681,69.43,46.5,883.0,20.82,GREEN
065-53102986,2025-08-10T02:00:00+03:00,300445575298,COL,IND,BOM,4415290473,1,151.45,1,0.0074,64.58,40.9,9528.0,0.74,GREEN
176-64254394,2025-03-27T22:00:00+03:00,040651837852,COL,NLD,AMS,4660491079,1,95.87,1,0.064,-21.79,44.1,1637.0,152.21,RED
160-93206423,2025-11-12T20:00:00+03:00,300468800797,COL,DEU,FRA,4415338668,0,54.43,1,0.0877,0.38,24.6,6990.0,98.83,RED
160-69720791,2025-06-29T08:00:00+03:00,300443273328,CRT,IND,BOM,4076532407,0,28.85,1,0.0222,-34.69,28.2,4136.0,28.05,YELLOW
065-62420397,2025-11-18T22:00:00+03:00,300455377076,CRT,IND,BOM,1178909705,1,120.01,1,0.0533,-30.63,18.8,8589.0,93.89,RED
020-61628059,2025-10-11T17:00:00+03:00,851788979095,GEN,TWN,TPE,4326286752,0,94.02,1,0.093,10.74,33.5,5614.0,97.61,RED
020-86739369,2025-06-10T11:00:00+03:00,851719528530,GEN,TWN,TPE,2977256068,0,132.5,1,0.0525,16.74,34.4,4046.0,92.94,RED
176-64873958,2025-03-26T00:00:00+03:00,851719046318,GEN,TWN,TPE,2616324270,0,100.87,1,0.0444,12.9,35.1,2395.0,1.46,GREEN
065-79985379,2025-06-07T11:00:00+03:00,851719510312,GEN,CHN,PVG,1658675848,0,135.26,1,0.0954,59.34,22.1,3846.0,95.63,RED
020-55868235,2025-05-25T21:00:00+03:00,851799788677,VAL,CHN,PVG,4253200120,0,45.11,1,0.0307,51.94,44.9,5458.0,1.87,GREEN
160-83908413,2025-03-11T01:00:00+03:00,851782374753,GEN,TWN,TPE,2866062950,1,32.23,1,0.0143,30.61,31.7,2446.0,2.41,GREEN
065-46692513,2025-05-25T01:00:00+03:00,851742614537,VAL,CHN,PVG,4388094931,0,103.16,1,0.0427,-17.91,35.2,2805.0,31.14,YELLOW
160-44154789,2025-06-26T16:00:00+03:00,300435556386,CRT,DEU,FRA,2266387358,0,122.72,1,0.0202,43.41,25.9,6768.0,2.45,GREEN
065-51824126,2025-06-17T20:00:00+03:00,851798447167,VAL,TWN,TPE,4031167205,0,163.24,0,0.0134,-29.42,29.8,1032.0,94.27,YELLOW
176-99804718,2025-04-26T19:00:00+03:00,060265177213,COL,FRA,CDG,1593676350,0,104.81,1,0.0471,-8.05,25.1,4432.0,24.98,RED
020-24979919,2025-11-15T19:00:00+03:00,851797705310,GEN,TWN,TPE,4471414048,0,123.2,1,0.033,20.2,47.0,2876.0,2.5,GREEN
020-63671255,2025-10-15T14:00:00+03:00,300464038913,COL,IND,BOM,2613702048,1,63.31,1,0.0284,18.08,42.2,7721.0,2.27,GREEN
020-48880000,2025-05-01T14:00:00+03:00,851743374088,GEN,TWN,TPE,2359771412,1,118.13,1,0.0351,-23.84,46.2,9477.0,26.16,YELLOW
160-81858228,2025-06-15T12:00:00+03:00,060228814949,COL,NLD,AMS,2741850139,1,130.24,1,0.0441,51.49,28.8,6798.0,1.73,GREEN
020-30950719,2025-04-02T07:00:00+03:00,300447385696,COL,IND,BOM,4509171017,0,64.81,1,0.0358,-43.13,34.8,1828.0,33.68,RED
065-91029803,2025-08-15T06:00:00+03:00,040669476001,PER,NLD,AMS,2636609825,0,146.73,1,0.0209,-32.8,13.0,3387.0,24.53,YELLOW
160-83536558,2025-03-02T10:00:00+03:00,300497529405,CRT,IND,BOM,2151866719,0,103.92,1,0.0129,22.67,36.6,7510.0,0.5,GREEN
176-26431986,2025-11-20T13:00:00+03:00,040632321899,COL,NLD,AMS,1885186202,1,6.65,1,0.0364,6.17,29.1,1488.0,14.19,GREEN
160-29268048,2025-07-10T08:00:00+03:00,300474606833,CRT,DEU,FRA,2797008136,1,42.73,1,0.0372,-44.58,40.6,6135.0,26.39,YELLOW
176-52469928,2025-05-21T11:00:00+03:00,851717869910,GEN,CHN,PVG,2289372603,0,121.6,0,0.0114,71.68,29.4,888.0,82.79,YELLOW
160-51550740,2025-05-06T01:00:00+03:00,851710289289,VAL,CHN,PVG,4861620990,0,86.67,1,0.0218,71.47,36.0,8706.0,1.18,GREEN
020-85965868,2025-08-12T07:00:00+03:00,300471070189,COL,DEU,FRA,4370275277,0,74.95,1,0.0921,-3.9,14.6,7149.0,90.85,RED
176-33730158,2025-07-07T01:00:00+03:00,851784593961,VAL,CHN,PVG,1508832707,0,162.9,1,0.0095,-46.45,48.1,605.0,38.61,YELLOW
020-85836812,2025-04-12T13:00:00+03:00,040649823450,PER,NLD,AMS,4365821234,0,68.22,1,0.0079,26.97,12.9,6302.0,1.7,GREEN
160-61114177,2025-07-23T05:00:00+03:00,851787736262,GEN,TWN,TPE,4282266152,1,21.57,0,0.0364,-33.55,17.9,8833.0,45.26,YELLOW
176-12074075,2025-06-17T21:00:00+03:00,300417672593,CRT,DEU,FRA,4284369588,0,62.24,1,0.0815,67.06,49.1,1891.0,102.56,RED
